well_id,coor_x,coor_y
F-216,-45.737971,-67.67888
F-217,-45.731391,-67.668845
F-222,-45.73813100000001,-67.70107
F-224,-45.738103,-67.708127
F-227,-45.737031,-67.709462
F-228,-45.739015,-67.713494
F-230,-45.746829,-67.672113
F-233,-45.742669,-67.69533
F-234,-45.73935,-67.689327
F-235,-45.73968499999999,-67.696225
F-237,-45.738852,-67.68485
F-238,-45.74546999999999,-67.702381
F-241,-45.730525,-67.688288
F-244,-45.743964,-67.688714
F-245,-45.74667099999999,-67.711722
F-248,-45.736028,-67.685242
F-249,-45.743346,-67.683912
F-250,-45.727175,-67.699082
F-252,-45.731151,-67.68182
F-254,-45.729235,-67.684409
F-255,-45.734334,-67.682014
F-256,-45.73575700000001,-67.678708
F-257,-45.735556,-67.684722
F-260,-45.729167,-67.684444
F-261,-45.730278,-67.7
F-40,-45.73995500000001,-67.692534
F-41,-45.737407,-67.713019
F-57,-45.74341799999999,-67.703789
F-75,-45.741343,-67.67481
F-82,-45.740531,-67.680985
F-86,-45.739408,-67.668423
F-92,-45.73375200000001,-67.681872
G-102,-45.72029600000001,-67.6764
G-107,-45.71315299999999,-67.683601
G-109,-45.71809499999999,-67.673214
G-115,-45.709941,-67.686241
G-116,-45.708827,-67.677786
G-117,-45.711957,-67.674893
G-119,-45.70872499999999,-67.683707
G-120,-45.71350000000001,-67.689435
G-122,-45.709551,-67.674457
G-135,-45.72339,-67.679193
G-140,-45.70971400000001,-67.669932
G-151,-45.712175,-67.66401
G-152,-45.712193,-67.67067
G-153,-45.723898,-67.688795
G-154,-45.713323,-67.660444
G-155,-45.715875,-67.660753
G-156,-45.710019,-67.663063
G-157,-45.720237,-67.660405
G-163,-45.710287,-67.706283
G-171,-45.725,-67.662778
G-174,-45.713306,-67.708725
G-179,-45.724058,-67.660204
G-183,-45.72177,-67.705184
G-184,-45.724453,-67.67748
G-191,-45.742805,-67.715752
G-192,-45.721448,-67.70196
G-193,-45.746999,-67.716643
G-194,-45.710702,-67.722757
G-196,-45.723413,-67.691727
G-198,-45.716389,-67.727778
G-200,-45.715951,-67.703975
G-44,-45.719369,-67.666947
G-51,-45.720635,-67.663706
G-52,-45.71629,-67.666999
G-64,-45.708122,-67.72825
G-66,-45.71087,-67.723366
G-69,-45.707941,-67.723808
G-71,-45.71607,-67.678073
G-74,-45.71783099999999,-67.68132
G-75,-45.71336000000001,-67.677451
G-80,-45.708731,-67.689956
G-81,-45.708441,-67.717677
G-82,-45.725201,-67.697609
G-83,-45.708481,-67.714312
G-84,-45.726039,-67.702242
G-86,-45.724397,-67.705549
G-87,-45.712598,-67.725658
H-100,-45.703031,-67.708521
H-101,-45.699415,-67.709125
H-102,-45.69577199999999,-67.712346
H-105,-45.705716,-67.708682
H-110,-45.700106,-67.731349
H-111,-45.696758,-67.732793
H-112,-45.702205,-67.733936
H-117,-45.70149399999999,-67.710032
H-123,-45.713246,-67.731734
H-124,-45.706218,-67.713167
H-125,-45.715761,-67.73165
H-127,-45.693611,-67.712778
H-43,-45.700346,-67.715672
H-46,-45.695062,-67.707552
H-51,-45.69525600000001,-67.71784
H-53,-45.694875,-67.725914
H-55,-45.700367,-67.72294
H-56,-45.699075,-67.727368
H-63,-45.71100499999999,-67.732741
H-65,-45.706873,-67.725944
H-66,-45.706602,-67.730031
H-69,-45.71111199999999,-67.738693
H-70,-45.712199,-67.735408
H-71,-45.693249,-67.739489
H-72,-45.713537,-67.738549
H-73,-45.693285,-67.735916
H-74,-45.69410500000001,-67.741576
H-76,-45.715186,-67.735539
H-85,-45.69654,-67.737002
H-87,-45.693035,-67.732841
H-88,-45.693648,-67.720278
H-89,-45.705868,-67.735503
H-90,-45.693876,-67.718317
H-91,-45.693848,-67.715456
H-92,-45.69404700000001,-67.722292
H-93,-45.693795,-67.712265
H-94,-45.70672500000001,-67.719858
I-100,-45.70231100000001,-67.703452
I-108,-45.699237,-67.695304
I-110,-45.705032,-67.674755
I-111,-45.705929,-67.677922
I-114,-45.705259,-67.686472
I-116,-45.70497,-67.691602
I-117,-45.70601700000001,-67.695209
I-119,-45.699944,-67.703107
I-127,-45.695674,-67.692132
I-128,-45.70265899999999,-67.693353
I-129,-45.706078,-67.702558
I-131,-45.706602,-67.666585
I-132,-45.702676,-67.674989
I-134,-45.699949,-67.665769
I-136,-45.702412,-67.682183
I-138,-45.702746,-67.6863
I-141,-45.69928299999999,-67.671344
I-143,-45.697838,-67.69075
I-144,-45.702674,-67.675037
I-145,-45.703757,-67.670561
I-147,-45.70000799999999,-67.68056
I-148,-45.699128,-67.684144
I-150,-45.69781299999999,-67.680205
I-156,-45.697876,-67.690848
I-157,-45.695939,-67.674132
I-163,-45.693975,-67.700084
I-167,-45.695404,-67.70313
I-169,-45.701567,-67.696463
I-171,-45.69807,-67.701507
I-175,-45.706414,-67.68937
I-183,-45.70412,-67.699013
I-28,-45.698774,-67.687317
I-32,-45.692738,-67.690372
I-39,-45.692309,-67.707674
I-41,-45.707476,-67.705749
I-43,-45.70105000000001,-67.701887
I-46,-45.702665,-67.690448
I-49,-45.69805199999999,-67.702168
I-50,-45.698133,-67.706215
I-51,-45.697598,-67.697517
I-54,-45.703292,-67.706251
I-59,-45.699677,-67.689674
JUP-2001,-45.73375099999999,-67.5166
K-14,-45.761196,-67.64155
K-152,-45.730588,-67.663466
K-153,-45.729806,-67.659067
K-155,-45.73322099999999,-67.662196
K-160,-45.746035,-67.660629
K-161,-45.734173,-67.651146
K-162,-45.734636,-67.647481
K-167,-45.741818,-67.654074
K-175,-45.738157,-67.653444
K-176,-45.744264,-67.641152
K-179,-45.739967,-67.657409
K-180,-45.742392,-67.650628
K-180001,-45.742392,-67.650628
K-187 BIS,-45.747135,-67.648115
K-192,-45.746845,-67.654412
K-194,-45.748768,-67.643129
K-196,-45.744937,-67.657886
K-202,-45.74229,-67.647896
K-205,-45.744035,-67.645611
K-206,-45.74070699999999,-67.64855
K-207,-45.74099,-67.645438
K-210,-45.740893,-67.642202
K-214,-45.74515800000001,-67.654145
K-215,-45.74250700000001,-67.644864
K-215001,-45.74250700000001,-67.644864
K-221,-45.74332800000001,-67.659987
K-225,-45.73500899999999,-67.639765
K-226,-45.73704000000001,-67.63911
K-230,-45.74308400000001,-67.639313
K-233,-45.73535900000001,-67.641601
K-234,-45.74134700000001,-67.639656
K-235,-45.733096,-67.646083
K-236,-45.736808,-67.65274
K-237,-45.733953,-67.64194
K-300,-45.75234,-67.652751
K-301,-45.755716,-67.650083
K-305,-45.75950900000001,-67.652568
K-306,-45.76365,-67.641984
K-307,-45.758611,-67.647189
K-309,-45.767683,-67.658641
K-312,-45.76337100000001,-67.656038
K-316,-45.763465,-67.648571
K-325,-45.763567,-67.662306
K-326,-45.766242,-67.655477
K-327,-45.766276,-67.662251
K-328,-45.758015,-67.655365
K-330,-45.752414,-67.658084
K-333,-45.76627200000001,-67.648969
K-334,-45.767585,-67.645592
K-335,-45.766136,-67.642268
K-339,-45.76701599999999,-67.639286
K-343,-45.770293,-67.658972
K-347,-45.755662,-67.644713
K-349,-45.755309,-67.662969
K-350,-45.752658,-67.64039
K-353,-45.762832,-67.65064
K-354,-45.75726400000001,-67.640318
K-355,-45.759375,-67.663173
K-356,-45.760097,-67.6443
K-357,-45.762167,-67.638679
K-362,-45.730137,-67.651783
K-363,-45.730797,-67.656337
K-365,-45.72926800000001,-67.648273
K-369,-45.760928,-67.652528
K-370,-45.727256,-67.653081
K-374,-45.732221,-67.647144
K-376,-45.726378,-67.655827
K-381,-45.75876400000001,-67.651419
K-382,-45.754429,-67.64661
K-383,-45.730563,-67.639537
K-385,-45.727671,-67.642516
K-389,-45.730281,-67.64567
K-390,-45.72614500000001,-67.644544
K-392,-45.74325400000001,-67.656423
K-394,-45.752111,-67.647415
K-395,-45.76229,-67.652227
K-396,-45.756777,-67.649922
K-397,-45.756795,-67.655272
K-4,-45.753282,-67.639014
K-400,-45.730986,-67.656033
K-401,-45.73039,-67.651574
K-402,-45.759375,-67.645804
K-404,-45.757964,-67.648434
K-407,-45.75451700000001,-67.652516
K-408,-45.72725999999999,-67.641247
K-411,-45.72978,-67.642446
K-412,-45.72666400000001,-67.661633
K-414,-45.733984,-67.642439
K-416,-45.75805600000001,-67.638889
K-417,-45.727222,-67.641111
K-64,-45.756083,-67.660801
K-8,-45.756825,-67.641688
KMA-416,-45.73135600000001,-67.479284
KMA-417,-45.73214700000001,-67.482812
KMA-419,-45.732713,-67.48803
KMA-421,-45.730278,-67.482179
KMA-424,-45.733686,-67.480289
KMA-431,-45.735209,-67.47821
KMA-440,-45.75566000000001,-67.505925
KMA-444,-45.756179,-67.509558
KMA-448,-45.755843,-67.500393
KMA-449,-45.737475,-67.510999
KMA-457,-45.75724000000001,-67.496926
KMA-495,-45.705758,-67.529987
KMA-602,-45.724725,-67.448221
KMA-603,-45.724073,-67.443668
KMA-604,-45.732921,-67.470048
KMA-605,0.0,0.0
KMAE-1007,-45.705519,-67.435221
KMAE-1008,-45.714308,-67.456553
KMAE-1010,-45.718289,-67.460498
KMAE-1019,-45.704202,-67.463406
KMAE-1031,-45.713388,-67.453249
KMAE-1033,-45.721667,-67.445
KMAE-1034,-45.720278,-67.441667
KMAE-1035,-45.719722,-67.436667
KMAE-1036,-45.718056,-67.438889
KMAE-1037,-45.722778,-67.447222
KMAE-586,-45.70295900000001,-67.426589
KMAE-616,-45.70238999999999,-67.436002
KMAE-629,-45.70337599999999,-67.439197
KMAE-698,-45.715795,-67.459675
KMAE-712,-45.703922,-67.451783
L-10,-45.688852,-67.723219
L-101,-45.68629399999999,-67.716823
L-105,-45.684467,-67.717236
L-107,-45.684883,-67.710775
L-11,-45.68194100000001,-67.718994
L-22,-45.681996,-67.725409
L-37,-45.690574,-67.717253
L-45,-45.692383,-67.723303
L-50,-45.689587,-67.713863
L-51,-45.692795,-67.727442
L-52,-45.692843,-67.723666
L-54,-45.686189,-67.720011
L-55,-45.686094,-67.724472
L-56,-45.687799,-67.717705
L-57,-45.687931,-67.722425
L-58,-45.68658299999999,-67.728356
L-61,-45.687489,-67.713345
L-64,-45.683903,-67.725397
L-66,-45.681897,-67.731995
L-70,-45.682648,-67.735682
L-71,-45.68162,-67.738486
L-73,-45.687935,-67.731783
L-74,-45.686981,-67.742303
L-75,-45.687758,-67.736703
L-76,-45.685866,-67.737555
L-77,-45.68615999999999,-67.712791
L-78,-45.687679,-67.739522
L-8,-45.681885,-67.712578
L-82,-45.689937,-67.736977
L-83,-45.6877,-67.734355
L-84,-45.688916,-67.742151
L-86,-45.690925,-67.721142
L-87XP,-45.692059,-67.717053
L-88,-45.691008,-67.717354
L-90,-45.69007500000001,-67.733885
L-92,-45.69229399999999,-67.710942
L-93,-45.692222,-67.719167
L-99,-45.691593,-67.716375
O-100,-45.692055,-67.699261
O-101,-45.68904200000001,-67.705778
O-103,-45.683494,-67.702941
O-104,-45.681499,-67.701838
O-108,-45.683864,-67.683656
O-109,-45.685554,-67.681665
O-111,-45.684871,-67.70738
O-112,-45.687572,-67.682527
O-113,-45.688609,-67.678768
O-114,-45.68748,-67.696316
O-116,-45.686146,-67.68925
O-117,-45.687693,-67.696279
O-118,-45.685774,-67.702069
O-119,-45.684332,-67.690507
O-120,-45.691645,-67.696883
O-121,-45.689683,-67.689063
O-123,-45.681678,-67.6825
O-16,-45.684376,-67.687518
O-22,-45.684239,-67.707358
O-25,-45.682508,-67.689318
O-27,-45.684264,-67.704271
O-41,-45.683518,-67.692391
O-44,-45.692049,-67.689275
O-46,-45.688715,-67.703156
O-51,-45.683345,-67.694941
O-52,-45.687184,-67.709905
O-57,-45.68389400000001,-67.697982
Q-101,-45.688041,-67.674792
Q-103,-45.68384,-67.676348
Q-104,-45.685548,-67.67397
Q-106,-45.68932,-67.672308
Q-107,-45.684488,-67.67061
Q-108,-45.68710999999999,-67.668951
S-101,-45.771718,-67.662235
S-102,-45.77093,-67.617409
S-103,-45.771111,-67.613611
TAY-2002,-45.700419,-67.436689
TAY-2003,-45.699809,-67.433813
TAY-2009,-45.701417,-67.423651
TAY-2010,-45.703972,-67.437116
TAY-2011,-45.703463,-67.434253
TAY-2012,-45.700984,-67.426889
TAY-2016,-45.707007,-67.434237
